bid_price,bid_size,ask_price,ask_size,protocol_name,timestamp
21.875,228.0,21.876,228.0,Vertex,2023-10-14 12:24:06.708532
21.874,257.0,21.878,685.0,Vertex,2023-10-14 12:24:06.708532
21.873,685.0,21.879,1828.0,Vertex,2023-10-14 12:24:06.708532
21.872,1828.0,21.88,257.0,Vertex,2023-10-14 12:24:06.708532
21.869,548.0,21.883,548.0,Vertex,2023-10-14 12:24:06.708532
21.866,816.0,21.885,4112.0,Vertex,2023-10-14 12:24:06.708532
21.864,137.0,21.902,677.0,Vertex,2023-10-14 12:24:06.708532
21.863,4116.0,21.904,1348.0,Vertex,2023-10-14 12:24:06.708532
21.857,816.0,21.906,4570.0,Vertex,2023-10-14 12:24:06.708532
21.854,1348.0,21.91,677.0,Vertex,2023-10-14 12:24:06.708532
21.85,4570.0,21.933,118.5,Vertex,2023-10-14 12:24:06.708532
21.824,128.0,21.963,114.0,Vertex,2023-10-14 12:24:06.708532
21.788,113.0,25.0,5.0,Vertex,2023-10-14 12:24:06.708532
21.3,67.5,26.8,5.0,Vertex,2023-10-14 12:24:06.708532
20.53,50.0,,,Vertex,2023-10-14 12:24:06.708532
18.9,773.0,,,Vertex,2023-10-14 12:24:06.708532
17.25,724.5,,,Vertex,2023-10-14 12:24:06.708532
16.5,606.0,,,Vertex,2023-10-14 12:24:06.708532
21.888,256.0,21.89,228.0,Vertex,2023-10-14 13:14:29.130097
21.887,228.0,21.891,685.0,Vertex,2023-10-14 13:14:29.130097
21.886,685.0,21.892,1827.0,Vertex,2023-10-14 13:14:29.130097
21.885,1827.0,21.896,256.0,Vertex,2023-10-14 13:14:29.130097
21.881,547.0,21.898,547.0,Vertex,2023-10-14 13:14:29.130097
21.877,4113.0,21.9,4109.0,Vertex,2023-10-14 13:14:29.130097
21.876,817.0,21.912,677.0,Vertex,2023-10-14 13:14:29.130097
21.868,816.0,21.915,2250.0,Vertex,2023-10-14 13:14:29.130097
21.859,136.0,21.918,4566.0,Vertex,2023-10-14 13:14:29.130097
21.852,4566.0,21.919,690.0,Vertex,2023-10-14 13:14:29.130097
21.849,2250.0,21.947,118.0,Vertex,2023-10-14 13:14:29.130097
21.838,128.0,21.977,114.0,Vertex,2023-10-14 13:14:29.130097
21.801,113.0,25.0,5.0,Vertex,2023-10-14 13:14:29.130097
21.3,67.5,26.8,5.0,Vertex,2023-10-14 13:14:29.130097
20.53,50.0,,,Vertex,2023-10-14 13:14:29.130097
18.9,773.0,,,Vertex,2023-10-14 13:14:29.130097
17.25,724.5,,,Vertex,2023-10-14 13:14:29.130097
16.5,606.0,,,Vertex,2023-10-14 13:14:29.130097
