bid_price,bid_size,ask_price,ask_size,protocol_name,timestamp
21.878,534.17,21.885,468.59,Hyperliquid,2023-10-14 12:24:06.410482
21.874,5113.71,21.886,19.43,Hyperliquid,2023-10-14 12:24:06.410482
21.873,0.51,21.888,4658.56,Hyperliquid,2023-10-14 12:24:06.410482
21.871,5068.94,21.892,4708.82,Hyperliquid,2023-10-14 12:24:06.410482
21.865,67.18,21.897,21.5,Hyperliquid,2023-10-14 12:24:06.410482
21.859,5185.7,21.899,45.68,Hyperliquid,2023-10-14 12:24:06.410482
21.837,5165.04,21.911,2216.93,Hyperliquid,2023-10-14 12:24:06.410482
21.797,2355.75,21.915,2379.92,Hyperliquid,2023-10-14 12:24:06.410482
21.791,2840.3,21.938,5138.6,Hyperliquid,2023-10-14 12:24:06.410482
21.71,28547.09,21.991,5487.0,Hyperliquid,2023-10-14 12:24:06.410482
21.633,13053.39,22.128,25845.0,Hyperliquid,2023-10-14 12:24:06.410482
21.624,13512.51,22.231,13842.86,Hyperliquid,2023-10-14 12:24:06.410482
21.495,13055.24,22.246,12552.7,Hyperliquid,2023-10-14 12:24:06.410482
21.481,12055.7,22.4,6155.75,Hyperliquid,2023-10-14 12:24:06.410482
18.5,1000.0,22.496,11476.22,Hyperliquid,2023-10-14 12:24:06.410482
17.5,800.0,22.507,13167.23,Hyperliquid,2023-10-14 12:24:06.410482
16.5,1000.0,22.65,48.08,Hyperliquid,2023-10-14 12:24:06.410482
15.555,155.48,22.674,49.33,Hyperliquid,2023-10-14 12:24:06.410482
10.0,50.0,22.698,50.59,Hyperliquid,2023-10-14 12:24:06.410482
,,22.722,51.84,Hyperliquid,2023-10-14 12:24:06.410482
